frequency_Hz,amplitude,ell_ln_f,log1p_amplitude,trend,y_detrended
20.0,3.5813873494228186,2.995732273553991,1.5220018669778317,1.2451109150948219,0.44254636682631704
22.0,2.7259979777783125,3.091042453358316,1.3153347294466442,1.262650837916826,0.08420305765947804
24.0,2.0363684351337277,3.1780538303479458,1.1106622076162989,1.2776514892696118,-0.2668938778679708
26.0,1.2516785671826354,3.258096538021482,0.8116759679333289,1.290597721365948,-0.7654460376345
28.0,1.9697640693491067,3.332204510175204,1.088482511729655,1.3018552816181863,-0.34102719302194506
30.0,4.746266706478332,3.4011973816621555,1.748550375504678,1.311705977524492,0.698195083226277
32.0,4.747778729232703,3.4657359027997265,1.748813472213587,1.3203709098963567,0.6847666854327518
34.0,1.8992706940108062,3.5263605246161616,1.0644592205409573,1.3280262899293969,-0.42125121164015494
36.0,1.7599015949615213,3.58351893845611,1.0151950250939907,1.334814489132231,-0.5108380451408214
38.0,3.4128188412751546,3.6375861597263857,1.4845136782948123,1.3408519345330552,0.22961018524202648
40.0,2.1031308131400515,3.6888794541139363,1.1324115415676885,1.3462348625129,-0.34174729503989687
42.0,1.3275534321239817,3.7376696182833684,0.8448176867794712,1.351043586209159,-0.8090854217607223
44.0,0.5225637428043461,3.784189633918261,0.42039558692048135,1.3553457103957933,-1.494302278546951
46.0,1.0361016628891857,3.828641396489095,0.7110370300984536,1.359198587710792,-1.0359368570447955
48.0,1.3891765437043775,3.871201010907891,0.8709487641919498,1.362651219228583,-0.7858730433632296
50.0,4.093390833212867,3.912023005428146,1.6279437842499056,1.3657457421210066,0.41906313710873483
52.0,4.787677325993282,3.9512437185814275,1.7557310584234538,1.3685186064135502,0.6188698571100083
54.0,5.6290536628705645,3.9889840465642745,1.8914620583947743,1.3710015148112047,0.8318362195405917
56.0,4.845682739672877,4.02535169073515,1.7657033955744055,1.3732221799651902,0.6272907613421094
58.0,29.092736815397952,4.060443010546419,3.4042838408228415,1.3752049396395631,3.2430149472778593
60.0,60.42672558549216,4.0943445622221,4.117845010572559,1.3769712602285304,4.380654954217736
62.0,28.38192162335226,4.127134385045092,3.3803795744391385,1.3785401517849272,3.1994789191942288
64.0,1.7156192028830437,4.1588830833596715,0.9990199947427291,1.3799285123479315,-0.6087944709388825
66.0,1.2425659729325635,4.189654742026425,0.8076207338859943,1.3811514153562763,-0.9166566029768095
68.0,1.9105182785887804,4.219507705176107,1.0683311679328429,1.382222350922388,-0.501682708178669
70.0,2.89177913431784,4.248495242049359,1.3588664140798454,1.3831534294563768,-0.03881719623861189
