null_best_delta_chi2,null_best_k
9.24061359287515,8.730307576894225
12.020869048726752,6.006751687921981
10.819183068474786,47.81432858214554
13.57250589564319,68.66841710427607
5.686098317061976,51.19392348087022
12.675271296730898,65.01050262565641
7.106397678807241,2.1897974493623407
8.340172206949205,62.326706676669176
11.201143200317233,34.35558889722431
7.07978896255122,17.338334583645914
7.357777735275306,53.957239309827465
10.047144332035998,12.030382595648913
7.132030832346459,19.008252063015757
8.203078292054329,52.22768192048012
10.167781325985459,33.878469617404356
10.964939874622303,21.811327831957993
7.750559246332102,44.31545386346587
8.849613282568782,50.04088522130533
8.935577073721106,50.836084021005256
10.333259964906063,55.428357089272325
9.926690491160343,27.139159789947488
8.629260864729645,68.3702175543886
13.087034562082806,40.18042010502626
12.54939921126055,67.15753938484622
10.827296951191556,13.262940735183797
10.467144324144328,10.698424606151539
12.197826722524042,67.03825956489123
8.963916887052449,39.683420855213804
11.336172963556976,53.082520630157546
10.399747202309015,6.066391597899475
6.801386228863748,72.96249062265566
9.439649062071226,19.306451612903228
8.059850496431977,28.70967741935484
8.608860448778614,15.44973743435859
8.501151729729372,14.674418604651164
8.829421293966504,79.12528132033009
7.0842803424610565,63.380345086271575
8.555275750907697,5.211552888222056
12.852188336240147,18.01425356339085
9.04304285869182,27.198799699924983
7.25516637078556,57.714553638409605
10.186014597245446,17.27869467366842
7.761000675693481,9.267066766691674
9.032469719856806,32.109152288072025
9.516439388949152,74.59264816204052
6.502776199058758,78.36984246061516
16.40425257785455,28.550637659414857
9.46952855769058,15.03225806451613
7.144913997259437,27.039759939985
11.252821076079385,15.787696924231058
8.241939005031497,41.33345836459115
11.583984742189386,12.606901725431358
10.69872842376941,16.34433608402101
8.44533271117325,64.57314328582146
8.232867231180762,30.876594148537137
15.348737851688725,37.456864216054015
6.774912899212154,45.0311327831958
13.421584610634682,14.873218304576145
9.779489103126252,23.222805701425358
13.60411168534256,70.77569392348087
9.084641997116364,77.95236309077269
9.373506045409215,53.57951987997
10.539971754129738,45.0510127531883
7.433378482659464,71.67029257314329
9.17871102669352,18.888972243060767
12.534930337592527,76.71980495123782
8.861799851024443,14.097899474868719
12.290243706807757,44.573893473368344
7.958843420942628,42.9039759939985
8.758055060533763,40.31957989497375
10.115194183629,69.12565641410353
10.885359663599957,64.35446361590398
10.903675871251096,74.01612903225806
9.680946987743482,15.728057014253565
8.222420072554598,61.88934733683421
13.340753061247824,40.31957989497375
15.770462344007115,1.3548387096774195
13.088676452259506,46.820330082520634
10.489930479122393,36.20442610652663
8.647626138591988,5.291072768192048
10.177506292009184,74.63240810202551
9.499188882969861,41.13465866466617
9.941088686669161,62.14778694673669
11.665046108750118,20.00225056264066
10.041002948053858,23.799324831207805
7.683374348547602,74.13540885221306
14.592449982032917,55.34883720930233
8.404298303072437,37.97374343585897
11.870564707055621,77.59452363090773
16.1054143336151,18.193173293323333
8.661294643244446,2.209677419354839
7.619097087036948,68.07201800450113
6.316005563099566,11.513503375843962
10.034816962560399,66.2629407351838
8.759524586964403,3.7006751687921984
6.6319262178976714,4.2573143285821455
7.247379105165578,47.635408852213054
10.006301125270113,51.63128282070518
15.443497781070676,78.13128282070518
12.323239344176102,71.88897224306078
