frequency_Hz,amplitude,rank_by_amplitude,rank_by_frequency,ratio_to_lowest_peak,amplitude_ratio_to_lowest_peak
60.0,60.42672558549216,3,1,1.0,1.0
120.0,191.0041638896968,1,2,2.0,3.160921960258508
180.0,39.132058328801165,5,3,3.0,0.647595214694148
240.0,114.98756651269008,2,4,4.0,1.9029256574560682
300.0,14.051172706745088,7,5,5.0,0.2325324195643431
360.0,47.97062945631309,4,6,6.0,0.7938644530464241
480.0,17.840661429564747,6,7,8.0,0.29524455043197156
600.0,13.944731684048108,8,8,10.0,0.23077093039435015
