frequency_Hz,amplitude
20.0,3.5813873494228186
22.0,2.7259979777783125
24.0,2.0363684351337277
26.0,1.2516785671826354
28.0,1.9697640693491067
30.0,4.746266706478332
32.0,4.747778729232703
34.0,1.8992706940108062
36.0,1.7599015949615213
38.0,3.4128188412751546
40.0,2.1031308131400515
42.0,1.3275534321239817
44.0,0.5225637428043461
46.0,1.0361016628891857
48.0,1.3891765437043775
50.0,4.093390833212867
52.0,4.787677325993282
54.0,5.6290536628705645
56.0,4.845682739672877
58.0,29.092736815397952
60.0,60.42672558549216
62.0,28.38192162335226
64.0,1.7156192028830437
66.0,1.2425659729325635
68.0,1.9105182785887804
70.0,2.89177913431784
72.0,3.236414868821782
74.0,1.45967258093994
76.0,2.6537417348454078
78.0,4.571979793969117
80.0,2.8334546537556857
82.0,1.2488294077386461
84.0,1.2907162064774629
86.0,1.853911471486707
88.0,1.369651381937897
90.0,0.3803931190777014
92.0,0.4582206298068139
94.0,0.9306841189674073
96.0,2.136531458860745
98.0,1.1642560217135776
100.0,0.2981018934312505
102.0,1.5958832588140317
104.0,1.391285132937466
106.0,0.372827173285207
108.0,0.5616999100507072
110.0,1.9979497945815947
112.0,1.8300740907576107
114.0,2.356428534498579
116.0,3.8455656520021866
118.0,99.14346998681062
120.0,191.0041638896968
122.0,93.85604299195647
124.0,0.8934956418966121
126.0,0.9513969116111409
128.0,1.7993094300614925
130.0,1.0590884799357443
132.0,3.581471315964125
134.0,3.6793815452213803
136.0,2.406630393374406
138.0,2.800884418484535
140.0,3.955986581068021
142.0,2.0441622453942943
144.0,1.174154448378778
146.0,0.7089137568595103
148.0,2.420285416344807
150.0,1.2677675030264872
152.0,1.7314154684178602
154.0,3.1932602630613496
156.0,2.8411219705938744
158.0,0.5679744340346388
160.0,2.354730849291364
162.0,1.4138546399089893
164.0,1.3470252193455643
166.0,2.909319538983307
168.0,2.069890405165142
170.0,0.3272825354461011
172.0,2.9143435703389997
174.0,3.9576321693226615
176.0,1.300084489368488
178.0,20.230611236183226
180.0,39.132058328801165
182.0,18.291366499588023
184.0,2.283354122548969
186.0,2.981088576010428
188.0,3.230569800032122
190.0,2.0349288970326667
192.0,2.484921797316825
194.0,4.1481255041389105
196.0,2.4799069273260494
198.0,0.7251067894091408
200.0,1.8401001862159878
202.0,2.9886731005036578
204.0,2.560836406546123
206.0,1.8789573568039644
208.0,2.2151976821917625
210.0,2.339229208813919
212.0,1.1653426890631402
214.0,1.2970788420186221
