k,delta_chi2,chi2_null,chi2_logcos,C,a,b,A,phi
0.5,3.4474011499696644e-05,491.00000000000006,490.99996552598856,-0.0001442412487793208,-0.0002457077525046596,-0.0006496089774087654,0.0006945243863040037,1.9324040473874513
0.5198799699924981,4.0751357403223665e-05,491.00000000000006,490.99995924864265,-0.00017066838691007135,-0.0001959609141442654,-0.0007040417165241877,0.0007308046376964098,1.8422623379128193
0.5397599399849963,4.791335908294059e-05,491.00000000000006,490.999952086641,-0.00019843202628550818,-0.00013799396817213084,-0.0007560284988332645,0.0007685189823940399,1.7513337703901963
0.5596399099774944,5.605582583712021e-05,491.00000000000006,490.9999439441742,-0.00022756958211891262,-7.1702455140816e-05,-0.0008045593749300162,0.0008077481227839526,1.6596816558198026
0.5795198799699925,6.528306204245382e-05,491.00000000000006,490.999934716938,-0.00025812024515182075,2.91521310533924e-06,-0.0008485727904597504,0.0008485777979514294,1.5673609095041618
0.5993998499624906,7.570860458372408e-05,491.00000000000006,490.9999242913955,-0.0002901250041014375,8.574860468792222e-05,-0.0008869636231191902,0.0008910989237692112,1.474419265935038
0.6192798199549887,8.745602752924242e-05,491.00000000000006,490.9999125439725,-0.00032362666415116785,0.00017656641164603078,-0.0009185923895843943,0.0009354077591745342,1.380898292610446
0.6391597899474869,0.00010065981797424683,491.00000000000006,490.9998993401821,-0.0003586698605951523,0.00027500799514717746,-0.0009422956687065394,0.000981606094448264,1.2868342397131964
0.659039759939985,0.00011546633248826765,491.00000000000006,490.99988453366757,-0.00039530106662366885,0.00038057545307086226,-0.000956897783057463,0.0010298014579035997,1.1922587552676447
0.6789197299324832,0.00013203483564439011,491.00000000000006,490.9998679651644,-0.00043356859412673366,0.0004926263445705655,-0.0009612237750764811,0.0010801073377851105,1.0971994896314465
0.6987996999249813,0.00015053863069169893,491.00000000000006,490.99984946136937,-0.0004735225862512755,0.0006103672206486535,-0.0009541137063649688,0.0011326434164007047,1.0016806085871464
0.7186796699174793,0.00017116628845315063,491.00000000000006,490.9998288337116,-0.0005152150003352698,0.0007328481249850628,-0.0009344382988194693,0.001187535813605108,0.9057232306892676
0.7385596399099775,0.00019412297945109458,491.00000000000006,490.9998058770206,-0.000558699579648343,0.0008589582452135616,-0.000901115923868581,0.0012449173367215542,0.8093458015673144
0.7584396099024757,0.00021963192011753563,491.00000000000006,490.99978036807994,-0.0006040318122554111,0.000987422911166308,-0.000853130930825681,0.0013049277338717418,0.7125644156138208
0.7783195798949738,0.0002479359367271172,491.00000000000006,490.99975206406333,-0.0006512688751164272,0.0011168021532139963,-0.0007895532867846878,0.001367713947467058,0.6153930935780458
0.7981995498874719,0.0002792991578530746,491.00000000000006,490.9997207008422,-0.0007004695613817039,0.0012454910502133969,-0.0007095594782672433,0.0014334303643220875,0.5178440231057625
0.81807951987997,0.0003140088414284037,491.00000000000006,490.99968599115863,-0.0007516941886538597,0.0013717221123832743,-0.0006124545985088248,0.0015022390584843138,0.4199277680373885
0.8379594898724682,0.0003523773426081789,491.00000000000006,490.99964762265745,-0.0008050044858019899,0.0014935699590588273,-0.0004976955134711745,0.0015743100224327872,0.32165345128714196
0.8578394598649663,0.0003947442330627382,491.00000000000006,490.999605255767,-0.0008604634557345771,0.0016089585640581892,-0.0003649149640227442,0.0016498213817937718,0.2230289153245903
0.8777194298574644,0.00044147857585130623,491.00000000000006,490.9995585214242,-0.0009181352113582327,0.0017156713515326626,-0.00021394642088750303,0.0017289595881571336,0.12406086361869458
0.8975993998499625,0.000492981360991962,491.00000000000006,490.99950701863906,-0.0009780847817745656,0.0018113644316909332,-4.484946265921657e-05,0.0018119195839484262,0.02475498586080268
0.9174793698424606,0.000549688110822899,491.00000000000006,490.99945031188923,-0.0010403778856163874,0.0018935832675857035,0.0001420646047388691,0.0018989049326388514,-0.07488393066006864
0.9373593398349588,0.0006120716550981342,491.00000000000006,490.99938792834496,-0.001105080668294348,0.001959783059953457,0.0003462072263489875,0.00199012790685845,-0.17485190152375565
0.957239309827457,0.000680645079455644,491.00000000000006,490.9993193549206,-0.0011722593998182446,0.0020073531254570925,0.0005666875765378486,0.0020858095262234993,-0.27514565579119643
0.9771192798199551,0.0007559648494179783,491.00000000000006,490.99924403515064,-0.001241980129806806,0.0020336455230140697,0.000802288507976188,0.002186179535926962,-0.3757625553161529
0.9969992498124531,0.0008386341042978529,491.00000000000006,490.99916136589576,-0.0013143082962857118,0.002036008151430261,0.0010514440145644867,0.0022914763163633073,-0.4767005215274841
1.0168792198049514,0.0009293061194739494,491.00000000000006,490.9990706938806,-0.0013893082849477391,0.0020118224974738004,0.0013122188278947458,0.0024019467133188405,-0.5779579686242846
1.0367591897974493,0.0010286879256113934,491.00000000000006,490.99897131207445,-0.0014670429356812766,0.0019585461548245866,0.0015822908452453215,0.0025178457775497944,-0.6795337422836654
1.0566391597899476,0.0011375440739698206,491.00000000000006,490.9988624559261,-0.0015475729934263075,0.001873760159101192,0.0018589371657277902,0.0026394364019538324,-0.7814270631003583
1.0765191297824457,0.001256700529495447,491.00000000000006,490.99874329947056,-0.0016309565007696317,0.001755221090449285,0.0021390245876693596,0.0027669888440346214,-0.8836374740890054
1.0963990997749438,0.001387048669585056,491.00000000000006,490.9986129513305,-0.0017172481301893615,0.0016009177812491555,0.0024190054915569944,0.002900780121019622,-0.9861647916670734
1.116279069767442,0.0015295493579969843,491.00000000000006,490.99847045064206,-0.0018064984544980218,0.001409132330870359,0.0026949200952283534,0.0030410932648588284,-1.089009059617699
1.13615903975994,0.0016852370590072496,491.00000000000006,490.99831476294105,-0.0018987531548569326,0.0011785049710832125,0.00296240611706792,0.003188216424477685,-1.192170505594011
1.1560390097524382,0.001855223948496132,491.00000000000006,490.99814477605156,-0.0019940521667275385,0.0009081021442938216,0.003216716913683687,0.0033424418031208474,-1.295649499788309
1.1759189797449363,0.0020407039699534835,491.00000000000006,490.9979592960301,-0.002092428765335485,0.0005974869527120067,0.003452749165132114,0.003504064419496535,-1.3994465154347022
1.1957989497374344,0.0022429567741255596,491.00000000000006,490.99775704322593,-0.002193908593624737,0.0002467909113725668,0.0036650811568758645,0.0036733806827529635,-1.5035620908613063
1.2156789197299327,0.002463351475341824,491.00000000000006,490.9975366485247,-0.0022985086373047757,-0.00014321430545790334,0.0038480226464822497,0.0038506867731780063,-1.6079967928428158
1.2355588897224306,0.0027033501430651086,491.00000000000006,490.997296649857,-0.002406236153415541,-0.0005710466921167769,0.0039956771975426224,0.004036276822956966,-1.7127511810409781
