id,filename,n_peaks,peak_freqs_Hz,exact_2_3_pairs,exact_koide_triplets,best_delta_chi2,best_k,p_shuffle_scanmax,null_n,samples,sample_rate_Hz,duration_s
001,fft.npy,0,,0,0,140.573,2.15,0.001996,500,5001,20000.0,0.25
002,waveform_raw.npy,8,"60,120,180,240,300,360,480,600",2,2,21.1391,44.5341,0.005988,500,10000,20000.0,0.5
