"k","delta_chi2","chi2_null","chi2_logcos","C","a","b","A","phi"
0.5,3.44740115565401e-05,491,490.999965525988,-0.000144241248733032,-0.000245707752463663,-0.000649608977420586,0.000694524386300556,1.93240404732622
0.519879969992498,4.07513573463802e-05,491,490.999959248643,-0.00017066838686719,-0.000195960914105588,-0.00070404171653064,0.000730804637692255,1.84226233785947
0.539759939984996,4.79133590829406e-05,491,490.999952086641,-0.000198432026244805,-0.000137993968135082,-0.000756028498835173,0.000768518982389265,1.75133377034233
0.559639909977494,5.60558258371202e-05,491,490.999943944174,-0.000227569582080511,-7.17024551060589e-05,-0.000804559374927877,0.000807748122778736,1.65968165577718
0.579519879969993,6.52830620424538e-05,491,490.999934716938,-0.000258120245115484,2.91521313760626e-06,-0.000848572790454009,0.000848577797945799,1.56736090946611
0.599399849962491,7.57086046405675e-05,491,490.999924291395,-0.000290125004067489,8.57486047169366e-05,-0.000886963623110422,0.000891098923763276,1.47441926590168
0.619279819954989,8.74560274155556e-05,491,490.999912543973,-0.000323626664118522,0.000176566411672768,-0.000918592389572908,0.000935407759168301,1.38089829258006
0.639159789947487,0.000100659817974247,491,490.999899340182,-0.000358669860563815,0.000275007995171399,-0.000942295668692764,0.000981606094441826,1.28683423968558
0.659039759939985,0.000115466332488268,491,490.999884533668,-0.000395301066593788,0.000380575453092165,-0.000956897783041844,0.00102980145789696,1.19225875524282
0.678919729932483,0.000132034835587547,491,490.999867965164,-0.000433568594097878,0.000492626344589259,-0.000961223775059188,0.00108010733777825,1.09719948960874
0.698799699924981,0.000150538630691699,491,490.999849461369,-0.000473522586223976,0.000610367220664194,-0.000954113706346869,0.00113264341639383,1.00168060856698
0.718679669917479,0.000171166288396307,491,490.999828833712,-0.000515215000309257,0.000732848124997629,-0.000934438298800769,0.00118753581359815,0.905723230671224
0.738559639909978,0.000194122979451095,491,490.999805877021,-0.0005586995796231,0.000858958245223616,-0.000901115923849195,0.00124491733671446,0.809345801550724
0.758439609902476,0.000219631920060692,491,490.99978036808,-0.000604031812230925,0.000987422911173896,-0.000853130930805925,0.00130492773386457,0.712564415598563
0.778319579894974,0.000247935936727117,491,490.999752064063,-0.000651268875092859,0.00111680215321901,-0.000789553286765073,0.00136771394745983,0.61539309356422
0.798199549887472,0.000279299157966761,491,490.999720700842,-0.000700469561359076,0.00124549105021597,-0.000709559478248133,0.00143343036431487,0.517844023093288
0.81807951987997,0.000314008841428404,491,490.999685991159,-0.000751694188631864,0.00137172211238364,-0.000612454598490125,0.00150223905847702,0.419927768025924
0.837959489872468,0.000352377342551335,491,490.999647622657,-0.000805004485780646,0.00149356995905715,-0.000497695513453148,0.0015743100224255,0.321653451276615
0.857839459864966,0.000394744233119582,491,490.999605255767,-0.00086046345571393,0.00160895856405458,-0.000364914964005713,0.00164982138178649,0.223028915315007
0.877719429857464,0.000441478575794463,491,490.999558521424,-0.000918135211338317,0.0017156713515273,-0.000213946420871754,0.00172895958814987,0.124060863610039
0.897599399849963,0.000492981360991962,491,490.999507018639,-0.000978084781755113,0.00181136443168399,-4.48494626445384e-05,0.00181191958394112,0.0247549858527991
0.917479369842461,0.000549688110879742,491,490.999450311889,-0.00104037788559737,0.00189358326757736,0.000142064604752388,0.00189890493263154,-0.0748839306674968
0.937359339834959,0.000612071654984447,491,490.999387928345,-0.0011050806682759,0.00195978305994394,0.00034620722636096,0.00199012790685116,-0.174851901530512
0.957239309827457,0.000680645079398801,491,490.999319354921,-0.00117225939980039,0.00200735312544669,0.000566687576548188,0.0020858095262163,-0.275145655797322
0.977119279819955,0.000755964849361135,491,490.999244035151,-0.00124198012978935,0.00203364552300283,0.000802288507985035,0.00218617953591975,-0.375762555321805
0.996999249812453,0.000838634104297853,491,490.999161365896,-0.00131430829626861,0.00203600815141833,0.00105144401457185,0.00229147631635609,-0.476700521532729
1.01687921980495,0.000929306119530793,491,490.99907069388,-0.00138930828493108,0.00201182249746151,0.00131221882790051,0.0024019467133117,-0.577957968629091
1.03675918979745,0.00102868792566824,491,490.998971312074,-0.00146704293566494,0.00195854615481196,0.00158229084524958,0.00251784577754265,-0.679533742288133
1.05663915978995,0.00113754407391298,491,490.998862455926,-0.00154757299341042,0.00187376015908864,0.00185893716573045,0.00263943640194679,-0.781427063104424
1.07651912978245,0.00125670052949545,491,490.998743299471,-0.00163095650075402,0.00175522109043672,0.00213902458767052,0.00276698884402755,-0.883637474092783
1.09639909977494,0.00138704866958506,491,490.99861295133,-0.00171724813017399,0.00160091778123671,0.00241900549155672,0.00290078012101253,-0.986164791670599
1.11627906976744,0.00152954935794014,491,490.998470450642,-0.00180649845448301,0.00140913233085836,0.00269492009522673,0.00304109326485183,-1.08900905962095
1.13615903975994,0.00168523705895041,491,490.998314762941,-0.00189875315484219,0.00117850497107175,0.00296240611706495,0.00318821642447068,-1.19217050559701
1.15603900975244,0.00185522394849613,491,490.998144776052,-0.00199405216671314,0.000908102144283072,0.00321671691367957,0.00334244180311397,-1.29564949979107
1.17591897974494,0.00204070396995348,491,490.99795929603,-0.00209242876532127,0.000597486952701918,0.00345274916512683,0.00350406441948961,-1.39944651543728
1.19579894973743,0.0022429567741824,491,490.997757043226,-0.00219390859361078,0.000246790911363331,0.00366508115686959,0.00367338068274609,-1.5035620908637
1.21567891972993,0.00246335147528498,491,490.997536648525,-0.00229850863729108,-0.000143214305466145,0.0038480226464751,0.00385068677317117,-1.60799679284502
1.23555888972243,0.00270335014306511,491,490.997296649857,-0.00240623615340211,-0.000571046692123966,0.00399567719753478,0.00403627682295022,-1.71275118104302
1.25543885971493,0.00296451094391159,491,490.997035489056,-0.00251708756083963,-0.001034447145837,0.00410201770638815,0.00423044089440477,-1.81782577335057
1.27531882970743,0.00324849083500567,491,490.996751509165,-0.00263104730345911,-0.00153031820332243,0.00416097563239896,0.0044334627569021,-1.92322101198391
1.29519879969993,0.00355704770589682,491,490.996442952294,-0.00274808669867325,-0.00205467062772068,0.00416654416409961,0.00464561746808867,-2.02893723019187
1.31507876969242,0.00389204185728431,491,490.996107958143,-0.00286816278681647,-0.0026025804217061,0.00411289520735593,0.00486716877025435,-2.13497461947472
1.33495873968492,0.00425543669967965,491,490.9957445633,-0.00299121719889102,-0.00316815903112709,0.00399450966582447,0.00509836631842763,-2.24133319722651
1.35483870967742,0.00464929855303353,491,490.995350701447,-0.00311717506254501,-0.0037445396357765,0.00380631999930906,0.0053394427631581,-2.34801277473522
1.37471867966992,0.00507579542670555,491,490.994924204573,-0.00324594396814189,-0.00432388248148792,0.003543863496713,0.00559061071771707,-2.45501292549537
1.39459864966242,0.00553719466364555,491,490.994462805336,-0.00337741301845332,-0.00489740217148488,0.00320344409606622,0.00585205964647374,-2.56233295380492
1.41447861965491,0.00603585933748718,491,490.993964140663,-0.00351145198668238,-0.00545541968574565,0.0027822999384248,0.00612395271821883,-2.66997186363785
1.43435858964741,0.0065742433023388,491,490.993425756698,-0.00364791060807872,-0.00598744161738067,0.00227877317460928,0.00640642367494227,-2.77792832780009
1.45423855963991,0.00715488481120019,491,490.992845115189,-0.00378661803018052,-0.00648226868972742,0.00169247787859762,0.00669957377266366,-2.88620065739391
1.47411852963241,0.0077803986358731,491,490.992219601364,-0.00392738244558923,-0.00692813503650069,0.00102446128916188,0.00700346885600127,-2.99478677163171
1.49399849962491,0.00845346664647195,491,490.991546533354,-0.00406999092902612,-0.00731287898538503,0.000277353036989751,0.00731813663182189,-3.10368416805574
1.5138784696174,0.00917682683569865,491,490.990823173164,-0.00421420949716973,-0.0076241451861604,-0.000544503443371909,0.00764356420915639,3.07029541394453
1.5337584396099,0.00995326080345649,491,490.990046739197,-0.00435978340538325,-0.00784961688019065,-0.00143494342843083,0.00797969597218909,2.96078479315546
1.5536384096024,0.0107855797504044,491,490.98921442025,-0.00450643768993599,-0.00797727594155934,-0.00238590358320031,0.00832643185020507,2.85097321769889
1.5735183795949,0.011676609063386,491,490.988323390937,-0.004653877957803,-0.00799568706483995,-0.00338738093669585,0.00868362604268168,2.74086516362915
1.5933983495874,0.0126291716100582,491,490.98737082839,-0.00480179141873128,-0.0078943011745778,-0.00442743393549285,0.00905108624906945,2.63046566854353
1.61327831957989,0.0136460698902852,491,490.98635393011,-0.00494984814624923,-0.00766377184090381,-0.00549223072241498,0.00942857344128311,2.51978035700506
1.63315828957239,0.0147300672221036,491,490.985269932778,-0.00509770254595953,-0.00729627726577286,-0.00656614886695025,0.00981580220267228,2.40881546482777
1.65303825956489,0.0158838681618931,491,490.984116131838,-0.00524499500117203,-0.00678583932146043,-0.00763192957036692,0.0102124416406518,2.29757786209389
