harmonic,frequency_hz,ratio,amplitude,amplitude_ratio
1,120.0,1.0,361.43824300006827,1.0
2,240.0,2.0,231.22860769177538,0.6397458270394805
3,360.0,3.0,105.92579563797214,0.2930674816221706
4,480.0,4.0,39.38545507908696,0.1089686989184471
5,600.0,5.0,26.85404492041019,0.07429774087410312
6,720.0,6.0,18.577280242698826,0.051398214224650594
7,840.0,7.0,6.70239052116109,0.018543667281936804
8,960.0,8.0,10.342869172580883,0.02861586833405155
9,1080.0,9.0,9.64005418140153,0.026671372960939577
10,1200.0,10.0,6.886019065577626,0.0190517168532615
11,1320.0,11.0,4.237552575659468,0.01172414003699843
12,1440.0,12.0,1.7525417997684962,0.004848800130339736
13,1560.0,13.0,4.071598059053648,0.011264989629370456
14,1680.0,14.0,2.2228749871652593,0.006150082428230594
15,1800.0,15.0,1.5168107282779308,0.004196597226922787
16,1920.0,16.0,3.0727879694706473,0.008501557400139494
17,2040.0,17.0,2.3166952793969458,0.006409657318405313
18,2160.0,18.0,3.972521114346549,0.010990871030616975
19,2280.0,19.0,1.9304649935368838,0.0053410645689103775
20,2400.0,20.0,3.1342940546253857,0.008671727785664324
21,2520.0,21.0,0.5546644380239025,0.0015346036252832209
22,2640.0,22.0,3.3109993292686704,0.009160622577694538
23,2760.0,23.0,3.4550086683905037,0.00955905672767962
24,2880.0,24.0,3.510542047938579,0.00971270228296765
25,3000.0,25.0,2.991787833498486,0.008277452348886946
26,3120.0,26.0,2.2229409517178853,0.006150264933966784
27,3240.0,27.0,4.453433947717162,0.012321424292991379
28,3360.0,28.0,1.6282707577301365,0.00450497640818221
29,3480.0,29.0,3.7557277996262215,0.01039106368062306
30,3600.0,30.0,4.426972451674526,0.012248212626669088
