mode,frequency_Hz,harmonic_ratio,amplitude,amplitude_ratio
1,60.0,1.0,130.35806836179466,1.0
2,120.0,2.0,366.0985017423159,2.80840692366083
3,180.0,3.0,86.55777600771631,0.664000142802704
4,240.0,4.0,237.49759464477688,1.8218864212196524
5,360.0,6.0,108.75719865475445,0.8342958745975788
6,480.0,8.0,39.68026522364475,0.3043943940126244
