"f_low","f_high","ratio_low_over_high","amp_low","amp_high","amp_ratio_low_over_high","delta_from_2_over_3","delta_from_1_over_2","delta_from_3_over_4"
120,180,0.666666666666667,191.004163889697,39.1320583288012,4.88101500526278,0,0.166666666666667,0.0833333333333334
240,360,0.666666666666667,114.98756651269,47.9706294563131,2.39704101897202,0,0.166666666666667,0.0833333333333334
300,480,0.625,14.0511727067451,17.8406614295647,0.787592587988925,0.0416666666666666,0.125,0.125
180,300,0.6,39.1320583288012,14.0511727067451,2.78496742908984,0.0666666666666667,0.1,0.15
360,600,0.6,47.9706294563131,13.9447316840481,3.44005396039197,0.0666666666666667,0.1,0.15
180,240,0.75,39.1320583288012,114.98756651269,0.34031556206977,0.0833333333333334,0.25,0
360,480,0.75,47.9706294563131,17.8406614295647,2.68883693834458,0.0833333333333334,0.25,0
240,300,0.8,114.98756651269,14.0511727067451,8.18348538677428,0.133333333333333,0.3,0.05
480,600,0.8,17.8406614295647,13.9447316840481,1.27938362915748,0.133333333333333,0.3,0.05
60,120,0.5,60.4267255854921,191.004163889697,0.316363394152957,0.166666666666667,0,0.25
120,240,0.5,191.004163889697,114.98756651269,1.66108536498698,0.166666666666667,0,0.25
180,360,0.5,39.1320583288012,47.9706294563131,0.815750361675758,0.166666666666667,0,0.25
240,480,0.5,114.98756651269,17.8406614295647,6.44525243453911,0.166666666666667,0,0.25
300,600,0.5,14.0511727067451,13.9447316840481,1.0076330635188,0.166666666666667,0,0.25
300,360,0.833333333333333,14.0511727067451,47.9706294563131,0.292911993567679,0.166666666666667,0.333333333333333,0.0833333333333334
120,300,0.4,191.004163889697,14.0511727067451,13.5934678105556,0.266666666666667,0.1,0.35
240,600,0.4,114.98756651269,13.9447316840481,8.24595045053671,0.266666666666667,0.1,0.35
180,480,0.375,39.1320583288012,17.8406614295647,2.19341970494173,0.291666666666667,0.125,0.375
60,180,0.333333333333333,60.4267255854921,39.1320583288012,1.54417447397645,0.333333333333333,0.166666666666667,0.416666666666667
120,360,0.333333333333333,191.004163889697,47.9706294563131,3.98168975588791,0.333333333333333,0.166666666666667,0.416666666666667
180,600,0.3,39.1320583288012,13.9447316840481,2.80622526237387,0.366666666666667,0.2,0.45
60,240,0.25,60.4267255854921,114.98756651269,0.525506604045086,0.416666666666667,0.25,0.5
120,480,0.25,191.004163889697,17.8406614295647,10.7061144926596,0.416666666666667,0.25,0.5
60,300,0.2,60.4267255854921,14.0511727067451,4.30047561485634,0.466666666666667,0.3,0.55
120,600,0.2,191.004163889697,13.9447316840481,13.6972276137944,0.466666666666667,0.3,0.55
60,360,0.166666666666667,60.4267255854921,47.9706294563131,1.25966088563676,0.5,0.333333333333333,0.583333333333333
60,480,0.125,60.4267255854921,17.8406614295647,3.38702271908796,0.541666666666667,0.375,0.625
60,600,0.1,60.4267255854921,13.9447316840481,4.33330141838559,0.566666666666667,0.4,0.65
