"harmonic","target_Hz","baseline_amplitude","post_amplitude","absolute_change","fold_change"
1,60,0.025321,60.4267255854921,60.4014045854921,2386.42729692714
2,120,0.07256,191.004163889697,190.931603889697,2632.36168535966
3,180,0.015957,39.1320583288012,39.1161013288012,2452.34432091252
4,240,0.046169,114.98756651269,114.94139751269,2490.57953416123
5,300,NA,14.0511727067451,NA,NA
6,360,0.021093,47.9706294563131,47.9495364563131,2274.24403623539
8,480,0.007972,17.8406614295647,17.8326894295647,2237.91538253446
10,600,NA,13.9447316840481,NA,NA
