"bin_frequency_Hz","subbin_frequency_Hz","nls_frequency_Hz","nls_freq_ci_low","nls_freq_ci_high","amplitude","local_snr","peak_width_Hz","nearest_60Hz_harmonic","residual_from_n60","ci_includes_60_multiple"
60,59.9887846523829,60.0103153186991,59.9157361180352,60.104894519363,60.4277220904259,21.3265181464366,2,1,-0.0112153476171244,TRUE
120,119.972025500501,119.966654566005,119.943536813852,119.989772318158,191.022653030174,95.6093359043477,2,2,-0.0279744994985123,FALSE
180,179.951204318912,179.925815197827,179.773966318752,180.077664076902,39.143886674766,15.7844176502918,2,3,-0.0487956810882793,TRUE
240,239.976527315026,239.944090893416,239.89588386647,239.992297920362,114.995432970356,62.6087620149957,2,4,-0.0234726849735125,FALSE
300,299.899443369193,300.035694436024,299.611930290472,300.459458581575,14.0689472302666,6.36688218720874,2,5,-0.100556630807432,TRUE
360,359.904517535405,359.912856165464,359.791899593714,360.033812737215,48.0265773000874,19.0180595307974,2,6,-0.0954824645954773,TRUE
480,479.955286725528,479.938552493483,479.592823126333,480.284281860633,17.844864005033,8.00332308802817,2,8,-0.0447132744724854,TRUE
600,599.72408406274,599.67546644969,599.209547723169,600.141385176212,14.0786866658642,9.03157127681081,2,10,-0.275915937259811,TRUE
