"quantity","python","r","abs_diff","rel_diff","within_tol"
"best_k",44.5341335333833,44.5341335333833,0,0,TRUE
"delta_chi2",21.1390829089851,21.1390829089852,5.6843418860808e-14,2.68902010108711e-15,TRUE
"chi2_null",491,491,5.6843418860808e-14,1.15770710510811e-16,TRUE
"chi2_logcos",469.860917091015,469.860917091015,1.13686837721616e-13,2.41958489387604e-16,TRUE
"A",0.292685123447527,0.292685123447527,3.33066907387547e-16,1.1379700596476e-15,TRUE
"phi",0.855274456980336,0.855274456980335,8.88178419700125e-16,1.03847181738124e-15,TRUE
"active_delta_ell",3.91202300542815,3.91202300542815,0,0,TRUE
"active_winding",27.7277441921585,27.7277441921585,0,0,TRUE
