"fwin","krange","detrend","estimator","best_k","delta_chi2","A","at_k_boundary","in_peak_region","specification_adjusted_note"
"20-1000","0.5-120","linear","welch",2.59649122807018,9.0901103281339,0.720889070684908,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-80","cubic","welch",56.0902255639098,8.96106961978424,0.962849533781128,FALSE,TRUE,"max over grid is the family statistic"
"20-500","0.5-120","cubic","welch",56.2067669172932,8.92932486328386,0.966177944214122,FALSE,TRUE,"max over grid is the family statistic"
"20-1000","0.5-120","cubic","welch",118.502506265664,8.68252522314158,0.618605864777825,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-40","linear","welch",1.58897243107769,8.27483289376102,1.04298202568075,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-80","linear","welch",1.49624060150376,8.26593297120446,1.10330857407454,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-120","linear","welch",1.69799498746867,8.24608950958109,0.983244223055197,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-120","quadratic","welch",118.502506265664,8.14135133775862,0.814875471105952,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-120","cubic","welch",118.502506265664,8.12745497519539,0.814213748945386,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-120","quadratic","welch",118.502506265664,8.06770247783433,0.810295726107487,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-40","quadratic","welch",9.6077694235589,7.8135163074878,0.820384920096164,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-80","quadratic","welch",9.66541353383459,7.80209851960486,0.826178646749988,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-40","cubic","welch",7.42982456140351,7.75228058726427,0.552509198945535,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-80","cubic","welch",7.47368421052632,7.74443378595139,0.550695604604073,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-40","quadratic","welch",9.6077694235589,7.62004601328691,0.80971545162722,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-80","quadratic","welch",9.66541353383459,7.60508485759009,0.814345024661462,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-40","cubic","welch",9.6077694235589,7.59283041022147,0.808271014811363,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-80","cubic","welch",9.66541353383459,7.57905802612188,0.812950511463623,FALSE,FALSE,"max over grid is the family statistic"
"20-1000","0.5-40","cubic","welch",7.23182957393484,7.43808940872519,0.551964888738016,FALSE,FALSE,"max over grid is the family statistic"
"20-1000","0.5-80","cubic","welch",7.27443609022556,7.43100997715787,0.548773240042508,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-120","linear","welch",7.9874686716792,7.27832616577523,0.804338730108088,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-40","linear","welch",8.02380952380952,7.27117681541748,0.800942424759924,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-80","linear","welch",8.07142857142857,7.24736434454558,0.795604905235745,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-40","cubic","welch",10.0037593984962,6.74278806705315,0.799053328781361,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-120","linear","welch",118.203007518797,6.69626678454899,0.544977054847028,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-40","linear","welch",2.77694235588972,6.62936972474169,0.594041011521947,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-80","linear","welch",2.89097744360902,6.57701088497933,0.57419207533895,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-120","quadratic","welch",118.203007518797,6.46710154786778,0.536515177912709,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-40","quadratic","welch",2.77694235588972,6.07600237152973,0.573760382445927,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-80","quadratic","welch",2.89097744360902,6.02906472504577,0.555063153278306,FALSE,FALSE,"max over grid is the family statistic"
