"null_model","B","observed_delta_chi2","exceedances","p_value","resolution_floor","null_mean","null_sd","null_median","p95","p99","null_max","mode"
"shuffle_canonical",200,21.1390829089852,0,0.00497512437810945,0.00497512437810945,9.39440904598627,2.33386158648065,9.12966912127774,13.6741477938046,15.0486066099298,16.8419417197483,"DEVELOPMENT_ONLY"
"block_perm_L8",200,21.1390829089852,72,0.36318407960199,0.00497512437810945,20.0279468281202,5.21191164352594,19.2792208856865,29.8029008116542,35.10557813242,38.9247785633069,"DEVELOPMENT_ONLY"
"stationary_bootstrap",200,21.1390829089852,26,0.134328358208955,0.00497512437810945,16.3898077705849,3.9589667321104,16.1392989555491,23.0362812682871,27.0715386201175,27.3381067157632,"DEVELOPMENT_ONLY"
"colored_noise_AR",200,21.1390829089852,23,0.119402985074627,0.00497512437810945,16.5186542579084,4.59207349332562,15.7945904569803,24.7047768815624,32.3176281705799,35.4465409779539,"DEVELOPMENT_ONLY"
"mains_harmonic",200,21.1390829089852,51,0.258706467661692,0.00497512437810945,18.7626721243989,4.58216804502799,18.2144204022866,27.5531853943911,31.2384240306451,37.8332878947566,"DEVELOPMENT_ONLY"
